id,districtid,regionid,udise,collegename,stream,status,medium,subject,choicecode,ReservationDetails,SC,ST,VJA,NTB,NTC,NTD,OBC,SBC,SEBC,EWS,General,round_id
1110,Pune,Nagpur,272011599,Wilson Borivali Vidyalaya,Science,G,Marathi,Science,46807,Open,77.07,74.59,78.22,,78.53,73.36999999999999,74.11999999999999,,79.67,74.50999999999999,77.69,2
1111,Pune,Pune,272036642,Tilak Borivali College of Commerce,Arts,A,Marathi,Arts,59190,Open,64.55000000000001,69.2,63.870000000000005,63.370000000000005,72.19000000000001,72.14,64.9,,62.800000000000004,72.09,70.24000000000001,3
1112,Nagpur,Nashik,272085887,K.C. Ghatkopar College of Arts & Science,Science,G,English,General,17878,Open,66.88,70.46000000000001,,69.33,68.96000000000001,66.42,67.62,74.05,72.88,65.67,75.44,1
1113,Nagpur,Nagpur,272025534,K.C. Borivali Vidyalaya,Science,U,English,Arts,23179,Reserved,71.94,67.05,67.83,63.64,71.33,72.7,69.78,72.58,67.73,64.41,68.64,2
1114,Nashik,Nashik,272010393,N.S. Ghatkopar Institute,Commerce,A,English,Commerce,81498,Open,89.32000000000001,88.02,,91.12,87.47,,95.2,92.17,94.86,86.0,93.39,3
1115,Thane,Nashik,272046363,Rajmata Dadar College of Arts & Science,Commerce,A,Marathi,General,50698,Reserved,83.85000000000001,87.57000000000001,92.10000000000001,84.69,86.76,91.58,87.82000000000001,,86.82000000000001,88.77,89.02,2
1116,Mumbai,Konkan,272055640,Elphinstone Borivali College of Commerce,Commerce,A,Semi-English,Arts,30929,Reserved,98.67,95.91,97.71,,97.31,,96.88,,96.41,99.53,95.6,2
1117,Mumbai,Nagpur,272026522,Rajmata Airoli College of Arts & Science,Science,U,Semi-English,Science,29516,Reserved,67.32000000000001,59.45,,60.18,65.58,65.98,59.34,64.7,64.16,68.53,65.44,1
1118,Nagpur,Pune,272014119,Smt. Dadar Vidyalaya,Arts,U,Marathi,Commerce,10382,Reserved,85.78999999999999,80.03999999999999,79.31,,78.00999999999999,85.01,86.53999999999999,83.86,80.51,86.25,84.17,2
1119,Pune,Amravati,272038116,Gokhale Borivali Junior College,Science,U,Marathi,Commerce,22915,Reserved,88.62,88.3,98.25,97.88,92.24000000000001,94.37,93.47,88.9,89.72,96.29,95.99000000000001,2
1120,Nashik,Amravati,272066152,Wilson Thane College of Commerce,Science,A,English,Science,40804,Reserved,91.18,91.5,87.15,96.10000000000001,,,87.78,91.29,88.37,93.71000000000001,93.45,1
1121,Thane,Amravati,272015977,Smt. Dadar Junior College,Arts,G,Marathi,Commerce,80178,Reserved,66.78,56.59,59.18,58.120000000000005,63.14,61.78,63.440000000000005,,65.82000000000001,65.05,64.43,2
1122,Nagpur,Aurangabad,272076385,Shree Ghatkopar College of Arts & Science,Arts,A,English,Commerce,96184,Open,64.69,67.2,,,65.98,,70.24,69.12,66.67,71.18,70.08,1
1123,Nashik,Nashik,272090160,Vivekanand Bhandup Institute,Arts,A,English,General,81683,Open,58.699999999999996,54.83,,59.83,58.65,,55.53,53.199999999999996,54.73,52.91,62.23,3
1124,Nashik,Nashik,272047252,Gokhale Kalwa Vidyalaya,Arts,U,Marathi,Arts,32158,Open,80.07000000000001,76.62,77.32000000000001,77.41000000000001,79.10000000000001,76.42,76.44000000000001,84.92,80.10000000000001,79.61,82.66000000000001,3
1125,Nagpur,Nashik,272018442,S.M. Pune Institute,Commerce,A,English,General,57403,Open,54.14,55.54,60.71,60.7,,58.5,60.36,58.75,55.33,54.61,60.58,1
1126,Nashik,Nagpur,272019438,Tilak Mulund College of Arts & Science,Commerce,A,Marathi,Science,40939,Reserved,70.35,73.85,68.2,72.49,75.32000000000001,69.1,73.15,74.91,74.55,69.67,76.43,1
1127,Pune,Aurangabad,272081140,R.D. Mulund Institute,Science,U,Semi-English,General,32781,Reserved,57.14,55.76,60.870000000000005,56.93,56.11,,55.230000000000004,54.53,57.33,60.230000000000004,60.26,2
1128,Nashik,Pune,272049307,Dr. Dadar College of Arts & Science,Commerce,A,English,Commerce,14132,Open,86.92,82.81,,83.24,,90.85,85.33,,87.4,88.84,88.43,2
1129,Thane,Konkan,272092163,Elphinstone Thane College of Commerce,Science,A,English,Science,82112,Open,97.0,92.96000000000001,97.28,92.79,89.48,,89.46000000000001,,96.52000000000001,96.16000000000001,95.57000000000001,3
1130,Nashik,Nagpur,272090403,S.M. Andheri Vidyalaya,Science,G,Semi-English,Arts,35819,Reserved,87.53,87.97,90.24000000000001,92.03,,91.91000000000001,92.02000000000001,,84.68,87.94,91.32000000000001,1
1131,Mumbai,Nashik,272022293,Chhatrapati Bhandup Vidyalaya,Commerce,G,Marathi,Science,99802,Open,63.53,65.2,,,,,66.6,63.47,64.73,64.73,67.97,1
1132,Nashik,Pune,272039016,Vivekanand Bhandup Institute,Commerce,U,English,Science,20065,Reserved,71.91,75.27,,70.17999999999999,73.35,72.46,75.87,71.53999999999999,69.49,73.06,77.56,3
1133,Nagpur,Amravati,272095713,Rajmata Mulund College of Commerce,Science,U,English,Commerce,98095,Reserved,89.08999999999999,93.89,,89.89,93.11,89.85,92.53999999999999,,89.50999999999999,90.52,96.44,1
1134,Mumbai,Konkan,272054146,Rajmata Borivali Vidyalaya,Science,A,Marathi,General,60690,Open,88.72,84.71,,85.71,,89.78999999999999,90.2,,87.28999999999999,93.16,91.73,2
1135,Nagpur,Amravati,272090658,K.C. Airoli Junior College,Commerce,A,Marathi,Commerce,78546,Open,87.5,85.07000000000001,,,84.95,88.15,91.33,89.76,87.46000000000001,86.32000000000001,91.41000000000001,1
1136,Thane,Pune,272090818,Rajmata Mulund College of Commerce,Science,A,English,Commerce,25932,Open,80.18,75.48,76.78,,71.30000000000001,73.08000000000001,72.39,74.15,78.76,74.78,77.76,3
1137,Pune,Pune,272032840,Tilak Thane Vidyalaya,Arts,A,English,General,93515,Open,65.47,64.26,,60.269999999999996,61.41,66.89,67.53999999999999,60.97,66.03,65.39,65.95,1
1138,Thane,Amravati,272081492,K.C. Kalwa College of Arts & Science,Commerce,G,Semi-English,General,63880,Reserved,55.39,54.690000000000005,59.190000000000005,58.45,59.21,53.27,59.160000000000004,53.07,56.46,58.22,58.54,2
1139,Mumbai,Nagpur,272057077,Rajmata Thane Institute,Commerce,U,Marathi,Commerce,39132,Open,77.86,76.68,75.6,78.9,77.79,79.61,83.96,75.82,82.92,82.99,80.46,2
1140,Pune,Konkan,272055365,Chhatrapati Dadar College of Commerce,Commerce,A,Semi-English,Arts,64438,Open,76.41000000000001,74.5,68.19000000000001,,,,70.4,68.57000000000001,69.49000000000001,77.0,76.79,3
1141,Nashik,Amravati,272041933,S.M. Pune Vidyalaya,Arts,A,Marathi,General,11184,Reserved,57.1,60.949999999999996,54.519999999999996,61.79,57.05,53.839999999999996,58.989999999999995,54.86,56.43,59.239999999999995,59.67,1
1142,Mumbai,Amravati,272058994,Smt. Thane Vidyalaya,Science,G,Semi-English,Arts,41137,Reserved,73.92999999999999,70.34,69.19,68.41,73.8,71.28,77.57,77.55,75.7,69.35,74.5,1
1143,Pune,Nagpur,272099918,Vivekanand Pune College of Commerce,Commerce,A,English,Commerce,80447,Reserved,56.010000000000005,62.379999999999995,64.88,,,,61.160000000000004,57.14,58.25,64.32000000000001,62.33,1
1144,Nagpur,Amravati,272084328,Shree Dadar Vidyalaya,Commerce,G,Marathi,General,84100,Reserved,93.14,95.05,90.60000000000001,,98.39,92.65,94.16000000000001,95.77000000000001,91.11,89.12,97.52000000000001,3
1145,Pune,Konkan,272054625,K.C. Airoli Vidyalaya,Science,A,English,Commerce,98701,Reserved,96.24000000000001,89.75,94.19,88.10000000000001,91.52,,91.07000000000001,93.08,95.58,91.03,94.77,2
1146,Nagpur,Aurangabad,272029203,Dr. Kalwa Institute,Arts,A,Marathi,General,97499,Reserved,72.03999999999999,66.66999999999999,,66.75,68.16,,66.63,66.85,74.66,68.50999999999999,73.14999999999999,2
1147,Nagpur,Konkan,272015990,Dr. Ghatkopar Junior College,Arts,A,English,Science,99157,Open,91.36999999999999,88.11999999999999,93.53999999999999,94.61999999999999,87.08999999999999,91.13,93.36,95.17999999999999,87.61,91.83999999999999,92.39,1
1148,Pune,Nagpur,272057362,Gokhale Thane College of Arts & Science,Commerce,G,English,General,21266,Reserved,87.69,79.01,83.89,84.03,85.92,80.58,87.67,,79.9,81.26,83.46000000000001,2
1149,Thane,Amravati,272060845,Chhatrapati Bhandup Vidyalaya,Arts,U,Semi-English,Commerce,95001,Open,90.98,87.26,,83.43,85.84,90.63,90.77,85.44,90.97,82.92,89.21000000000001,1
1150,Thane,Nashik,272019261,S.M. Borivali Junior College,Arts,A,Semi-English,General,72768,Open,54.39,56.0,54.599999999999994,62.06999999999999,,59.18,54.059999999999995,,53.379999999999995,53.709999999999994,60.529999999999994,1
1151,Nagpur,Nashik,272014359,Tilak Ghatkopar College of Arts & Science,Commerce,A,English,General,42182,Reserved,83.6,80.41999999999999,82.66,88.71,87.46,83.57,86.28,,88.25999999999999,85.00999999999999,90.32,3
1152,Mumbai,Pune,272017775,K.C. Ghatkopar College of Arts & Science,Arts,A,Marathi,Commerce,59856,Reserved,53.33,51.51,60.309999999999995,56.03,54.28,55.21,56.769999999999996,53.15,53.349999999999994,57.419999999999995,60.64,1
1153,Pune,Aurangabad,272063419,Vivekanand Bhandup Vidyalaya,Commerce,A,English,General,88673,Reserved,80.98,77.29,,84.0,81.27000000000001,84.13000000000001,77.10000000000001,81.75,80.39,75.55000000000001,80.94000000000001,2
1154,Mumbai,Nagpur,272073818,Chhatrapati Kalwa Institute,Commerce,A,English,Science,11655,Reserved,76.19,74.13,69.83999999999999,73.58,69.19,,72.03999999999999,74.89999999999999,76.16,71.03,74.85,3
1155,Thane,Pune,272084631,Tilak Mulund College of Arts & Science,Commerce,U,Semi-English,Arts,71060,Open,55.05,58.7,54.54,56.2,61.62,59.04,60.7,58.15,60.06,55.37,61.44,3
1156,Mumbai,Pune,272085708,Wilson Kalwa Vidyalaya,Arts,U,English,Arts,76883,Reserved,52.849999999999994,51.5,61.739999999999995,56.0,,,52.54,61.23,58.51,52.51,61.56999999999999,2
1157,Nashik,Nashik,272011710,Rajmata Andheri Junior College,Science,A,Semi-English,Science,87661,Reserved,55.24,52.61000000000001,59.07,,60.96,53.86000000000001,53.96,53.25,59.980000000000004,55.56,61.260000000000005,1
1158,Nashik,Konkan,272094426,Gokhale Mulund Vidyalaya,Arts,A,English,Science,50141,Open,85.37,89.93,85.17,,90.55,89.13,89.56,85.35,89.41,87.86,91.78,2
1159,Thane,Pune,272012519,K.C. Ghatkopar Junior College,Arts,G,Marathi,Arts,94936,Reserved,67.08999999999999,69.91999999999999,73.8,,72.77999999999999,70.17999999999999,70.13999999999999,,67.42999999999999,70.36999999999999,74.92999999999999,1
1160,Mumbai,Pune,272062138,Rajmata Mulund Junior College,Science,G,Marathi,Science,73713,Reserved,78.72,73.16,79.67999999999999,76.14999999999999,74.87,,78.69,79.07,84.35,81.16,80.09,1
1161,Pune,Aurangabad,272084867,K.C. Mulund College of Commerce,Arts,A,English,General,66152,Open,75.22,69.07,,74.63,73.94,70.09,73.25,74.5,70.13,71.35,76.0,2
1162,Thane,Nashik,272066160,Vivekanand Mulund Institute,Science,U,English,Arts,73195,Open,92.26,85.46,91.51,86.3,93.65,,94.24,86.99,92.63,94.19,92.05,3
1163,Nashik,Konkan,272081761,Gokhale Dadar Junior College,Science,A,Semi-English,Arts,34141,Reserved,90.37,85.31,,82.88,82.37,81.64,90.0,88.83,89.56,88.83,89.11,1
1164,Thane,Aurangabad,272017705,Smt. Kalwa College of Commerce,Commerce,A,Marathi,Arts,16051,Open,77.32,79.28999999999999,75.71,,,78.55,84.28,81.71,81.71,83.02999999999999,80.63,1
1165,Mumbai,Konkan,272019658,Elphinstone Borivali Institute,Science,G,English,Science,15602,Reserved,69.97,74.4,68.92,71.01,,69.48,73.97,70.31,68.55,69.82000000000001,73.25,2
1166,Mumbai,Konkan,272081661,N.S. Mulund College of Commerce,Arts,A,Marathi,General,13032,Reserved,71.08,75.77,74.69999999999999,73.36,74.94,71.36999999999999,69.61999999999999,77.05999999999999,76.3,72.72,76.8,1
1167,Mumbai,Pune,272060706,Elphinstone Pune Vidyalaya,Arts,A,English,Arts,56345,Open,74.27000000000001,67.63000000000001,68.27000000000001,72.14,68.67,76.07000000000001,74.9,,71.23,70.88000000000001,76.13000000000001,2
1168,Nagpur,Aurangabad,272067571,Wilson Kalwa Vidyalaya,Commerce,U,English,Science,26960,Open,74.93,82.77,84.37,77.28,84.81,77.81,77.77,84.38,79.59,78.5,80.47,1
1169,Mumbai,Pune,272072586,N.S. Kalwa Junior College,Science,G,English,Arts,20589,Open,55.3,53.949999999999996,61.709999999999994,56.5,59.39,,62.04,54.3,58.529999999999994,60.75,61.61,1
1170,Nashik,Amravati,272044441,R.D. Dadar College of Commerce,Science,A,English,Science,43682,Open,84.85000000000001,75.72000000000001,79.96000000000001,79.09,,82.56,76.74000000000001,,78.39,77.27000000000001,84.27000000000001,2
1171,Nashik,Konkan,272015778,Vivekanand Pune College of Commerce,Commerce,U,Semi-English,Commerce,23070,Reserved,85.8,76.52,77.51,79.39,,80.05,80.02,,86.16,86.87,85.16,3
1172,Nagpur,Aurangabad,272041671,Elphinstone Bhandup Junior College,Arts,U,Marathi,General,16600,Reserved,60.25,55.33,54.36,57.37,,53.79,52.07,,55.0,58.15,59.589999999999996,2
1173,Nashik,Nashik,272072781,N.S. Kalwa College of Arts & Science,Commerce,U,Semi-English,Arts,72113,Reserved,74.64,71.24,77.17,71.13,,,72.09,75.37,75.71,77.96,80.48,3
1174,Nashik,Pune,272075661,Vivekanand Pune College of Commerce,Science,A,Marathi,General,11158,Open,82.94,80.47,,,,,80.79,80.75,74.62,82.53,81.60000000000001,1
1175,Thane,Amravati,272045003,S.M. Kalwa Vidyalaya,Commerce,U,Semi-English,Arts,69867,Reserved,59.09,55.01,,61.18,55.74,55.9,57.6,61.47,57.65,58.77,64.08,3
1176,Mumbai,Nagpur,272099157,Wilson Bhandup Vidyalaya,Commerce,U,Marathi,General,24960,Open,51.31,55.31,58.77,52.660000000000004,55.18,52.77,59.480000000000004,60.49,54.620000000000005,56.730000000000004,55.52,1
1177,Thane,Amravati,272026424,Tilak Kalwa Junior College,Arts,U,Marathi,Commerce,66846,Open,80.96000000000001,78.89,87.51,79.89,81.42,81.41,79.12,82.67,87.23,87.63,86.81,3
1178,Thane,Amravati,272038548,Chhatrapati Pune Institute,Science,U,Semi-English,General,41646,Open,81.52,72.73,,,76.05,,74.15,,80.42999999999999,82.33,78.85,2
1179,Nashik,Pune,272096797,Pt. Thane College of Arts & Science,Arts,U,Marathi,Commerce,45257,Open,83.72999999999999,86.47,87.64,86.92999999999999,,87.16,92.00999999999999,89.49,83.64999999999999,83.72,91.77,1
1180,Pune,Nashik,272035407,Dr. Dadar Junior College,Commerce,G,English,Arts,83482,Reserved,87.56,93.26,89.63,87.17,86.81,95.9,95.73,95.29,86.68,90.60000000000001,93.18,1
1181,Mumbai,Aurangabad,272084747,Vivekanand Andheri College of Arts & Science,Arts,G,Marathi,General,57865,Reserved,57.51,59.57,55.25,61.54,,62.87,62.3,,61.24,55.879999999999995,60.589999999999996,2
1182,Pune,Konkan,272047876,N.S. Borivali Institute,Science,A,Semi-English,Science,13615,Open,78.71,75.85,75.84,,75.41,72.83,76.66,76.53,78.57,71.22,79.1,1
1183,Nashik,Nashik,272050207,Pt. Airoli Junior College,Commerce,A,Marathi,Arts,95748,Reserved,71.8,62.22,,73.55,65.51,70.73,66.87,65.45,65.36,73.92999999999999,69.6,3
1184,Nagpur,Pune,272086159,R.D. Bhandup College of Arts & Science,Arts,A,Marathi,Commerce,97987,Open,71.79,67.94,,,,77.15,73.15,75.0,70.69000000000001,72.82000000000001,76.09,1
1185,Thane,Nagpur,272059147,Dr. Borivali Vidyalaya,Science,A,Marathi,Commerce,79878,Reserved,77.25,73.41,,,80.03999999999999,78.57,77.35,80.47,75.41,76.56,82.27,1
1186,Nashik,Aurangabad,272039494,Shree Dadar Vidyalaya,Arts,G,Semi-English,Commerce,89515,Reserved,61.68,57.4,59.26,60.16,58.559999999999995,67.27,58.44,,66.35,59.449999999999996,63.669999999999995,1
1187,Nashik,Konkan,272012688,Gokhale Mulund Junior College,Commerce,G,English,Arts,52027,Reserved,63.51,57.489999999999995,60.1,,56.46,63.41,64.0,58.46,60.489999999999995,61.37,61.199999999999996,1
1188,Pune,Nagpur,272010364,Elphinstone Bhandup Junior College,Science,A,Marathi,Arts,23657,Open,59.9,58.86,,,,,59.69,,58.65,61.349999999999994,59.86,2
1189,Nagpur,Aurangabad,272061462,Chhatrapati Airoli College of Commerce,Science,G,English,General,33632,Open,59.85,59.21,,57.3,59.4,56.96,61.83,,64.19,56.62,61.97,2
1190,Thane,Konkan,272074327,Shree Ghatkopar Institute,Commerce,U,Marathi,Science,38402,Reserved,73.67999999999999,81.08,81.64,79.61,75.11,79.75999999999999,76.81,,78.64,81.67999999999999,83.22999999999999,3
1191,Nagpur,Konkan,272070093,Chhatrapati Kalwa Junior College,Science,U,Marathi,Commerce,70132,Reserved,78.26,69.25,79.59,,76.02,76.93,70.85,,77.68,75.09,76.82000000000001,1
1192,Nagpur,Amravati,272059411,S.M. Andheri Institute,Commerce,A,English,Commerce,10841,Reserved,82.25999999999999,78.02,83.44999999999999,84.08999999999999,84.22,,82.17999999999999,,76.61,83.58999999999999,84.25,3
1193,Nagpur,Nagpur,272030601,Shree Andheri Junior College,Science,A,English,General,79348,Open,71.63,70.36,,71.26,72.59,70.8,67.18,70.34,73.29,69.17,74.13,1
1194,Mumbai,Nagpur,272053800,Elphinstone Pune Vidyalaya,Commerce,G,Marathi,General,58668,Reserved,79.86999999999999,73.88,76.75999999999999,80.66,78.14,76.35,80.41999999999999,78.27,79.05999999999999,73.91,80.41,3
1195,Nagpur,Pune,272053003,Shree Thane College of Commerce,Science,A,English,Science,20607,Reserved,77.99000000000001,70.9,73.79,,78.07000000000001,75.08000000000001,75.09,81.4,77.45,80.92,78.41000000000001,1
1196,Nashik,Nashik,272011055,Rajmata Bhandup College of Arts & Science,Arts,U,English,Commerce,24434,Open,62.43,58.160000000000004,58.9,,56.85,,62.81,56.63,62.87,65.41,60.98,2
1197,Mumbai,Amravati,272038569,S.M. Thane Junior College,Arts,A,Semi-English,Arts,86564,Reserved,74.68,76.57000000000001,74.07000000000001,76.22,74.22,75.45,72.66,76.03,71.05,70.26,78.36,2
1198,Mumbai,Amravati,272031060,Tilak Borivali College of Commerce,Arts,G,English,Arts,20551,Reserved,79.47999999999999,79.89999999999999,,81.22999999999999,82.94999999999999,79.50999999999999,80.49,78.08999999999999,81.69,76.71,84.07,1
1199,Nagpur,Aurangabad,272092953,Vivekanand Pune College of Commerce,Commerce,U,English,Arts,91555,Reserved,68.04,63.56,70.93,71.01,71.54,70.0,70.25,69.16,64.68,65.77,69.84,1
1200,Nashik,Nagpur,272055605,N.S. Pune Junior College,Science,U,Semi-English,Commerce,44711,Reserved,97.91,93.43,93.73,91.7,92.89,95.27,96.07000000000001,94.39,93.58,97.54,98.78,2
1201,Thane,Konkan,272011448,Tilak Bhandup College of Arts & Science,Arts,G,English,Arts,94224,Open,74.97999999999999,71.46,80.67999999999999,79.80999999999999,71.78999999999999,74.03999999999999,76.0,75.27999999999999,70.91999999999999,76.58,76.41999999999999,1
1202,Nagpur,Konkan,272019552,Tilak Ghatkopar Institute,Science,G,English,Commerce,49837,Reserved,80.26,74.97,82.3,,,,76.97,78.4,76.79,81.48,86.19,2
1203,Mumbai,Aurangabad,272074648,K.C. Ghatkopar Vidyalaya,Science,A,Marathi,Arts,57422,Reserved,60.480000000000004,54.07,63.03,58.58,57.38,58.74,56.77,59.370000000000005,56.21,60.92,60.89,2
1204,Thane,Nagpur,272037854,Gokhale Ghatkopar Junior College,Science,G,Marathi,Commerce,44018,Open,60.019999999999996,64.44,63.86,67.62,63.83,63.0,59.76,59.96,64.85,59.93,66.99,2
1205,Thane,Pune,272059739,Vivekanand Pune College of Commerce,Commerce,U,Semi-English,Commerce,57627,Open,88.16,82.97,87.39999999999999,84.47999999999999,85.17,89.72999999999999,83.49,82.97,87.14999999999999,87.39,90.27,3
1206,Mumbai,Konkan,272051039,Shree Bhandup Institute,Arts,U,Semi-English,Arts,65091,Reserved,81.14999999999999,72.21,,76.75,79.42,79.92,75.8,72.42,76.94999999999999,80.08,79.17,1
1207,Thane,Amravati,272043436,Smt. Airoli College of Arts & Science,Commerce,A,Marathi,Arts,89365,Open,60.83,53.6,,54.44,53.84,55.52,52.96,,54.21,59.99,57.56,1
1208,Nashik,Amravati,272027040,R.D. Dadar Institute,Commerce,U,English,Science,71946,Open,68.62,65.42,65.88,,72.11,,72.74,65.49,67.05,64.85,70.17,1
1209,Nashik,Nagpur,272061270,Vivekanand Dadar Institute,Science,A,English,Commerce,28581,Open,90.4,96.95,92.59,93.98,98.06,93.99000000000001,94.92,90.19,96.16,89.75,95.84,2
1210,Nagpur,Konkan,272034070,Tilak Andheri College of Arts & Science,Arts,A,English,General,90849,Reserved,76.02000000000001,80.69,,77.23,79.83,75.86,79.74000000000001,82.9,77.12,81.34,82.91000000000001,3
1211,Nagpur,Konkan,272047469,Wilson Bhandup Vidyalaya,Commerce,A,English,Commerce,61829,Open,64.55,61.489999999999995,59.69,63.18,63.3,,65.85,61.379999999999995,61.37,65.81,63.48,3
1212,Thane,Pune,272023863,Vivekanand Dadar College of Commerce,Commerce,U,Marathi,Arts,55104,Open,54.52,51.800000000000004,58.410000000000004,57.82,60.650000000000006,61.77,57.09,58.580000000000005,54.34,62.35,59.080000000000005,3
1213,Mumbai,Nagpur,272070211,Gokhale Airoli Junior College,Science,U,Marathi,Commerce,54358,Open,60.49,62.42,60.13,59.06,,60.4,61.1,63.910000000000004,64.16,66.07,64.55,3
1214,Nashik,Konkan,272080416,S.M. Kalwa Vidyalaya,Arts,G,English,Commerce,61050,Reserved,75.91,75.98,71.39,76.64,75.78,69.53,76.37,76.33,69.76,73.29,78.39,3
1215,Pune,Pune,272043393,Elphinstone Pune College of Commerce,Commerce,A,Semi-English,Commerce,25058,Open,77.87,83.18,,79.87,84.87,87.64,87.55,80.17,85.2,84.15,83.0,1
1216,Nagpur,Amravati,272034087,Chhatrapati Kalwa Vidyalaya,Science,A,English,Commerce,88648,Reserved,77.03,66.81,,73.60000000000001,77.64,69.77,69.55,72.14,72.74000000000001,78.45,76.62,3
1217,Nashik,Pune,272086298,Wilson Kalwa Institute,Science,U,English,Science,34387,Reserved,84.69,75.75,85.41,,83.33,85.31,80.56,85.14,79.14,78.15,84.19,3
1218,Thane,Konkan,272018014,Chhatrapati Dadar Junior College,Commerce,A,Marathi,General,69443,Open,92.89999999999999,89.45,87.5,89.55,91.39999999999999,86.02,91.01,89.39999999999999,86.69,86.22,89.26,1
1219,Nashik,Nashik,272092278,Pt. Andheri College of Commerce,Commerce,A,English,Science,66070,Reserved,76.34,71.44,,80.82000000000001,,,73.6,76.94,80.6,75.34,82.34,1
1220,Nashik,Nagpur,272034480,Gokhale Bhandup College of Arts & Science,Science,U,English,General,75341,Reserved,64.16000000000001,70.09,67.97000000000001,71.64,67.49000000000001,,63.940000000000005,69.19000000000001,66.27000000000001,65.99000000000001,73.35000000000001,1
1221,Thane,Konkan,272096703,R.D. Ghatkopar College of Arts & Science,Arts,A,English,General,20256,Reserved,68.86999999999999,62.19999999999999,67.80999999999999,68.05,,71.96,70.30999999999999,62.88999999999999,68.28,70.17,70.0,3
1222,Nagpur,Nashik,272085062,Shree Kalwa Vidyalaya,Science,G,English,General,40975,Reserved,71.28,62.05,69.94,,,,71.9,,66.98,69.9,69.0,2
1223,Nagpur,Amravati,272029588,Gokhale Airoli Junior College,Commerce,U,Marathi,Arts,67565,Open,61.73,53.769999999999996,62.9,58.269999999999996,,,63.309999999999995,59.589999999999996,55.18,57.089999999999996,59.879999999999995,1
1224,Pune,Nagpur,272038683,Rajmata Borivali Vidyalaya,Arts,G,Semi-English,Commerce,68477,Reserved,92.19000000000001,88.73,,,,87.28,87.18,91.67,91.45,93.02000000000001,92.0,2
1225,Pune,Aurangabad,272039009,Tilak Borivali Vidyalaya,Commerce,G,English,Science,99699,Reserved,91.35000000000001,84.89,87.18,90.10000000000001,95.79,,95.42,,88.92,90.88,93.36,1
1226,Nagpur,Nagpur,272050332,Rajmata Borivali Vidyalaya,Commerce,G,English,General,25247,Open,79.01,76.23,70.18,70.67,,,70.48,76.06,79.18,71.25,78.46000000000001,3
1227,Nagpur,Amravati,272053388,Tilak Ghatkopar Vidyalaya,Science,G,Marathi,Arts,98569,Reserved,89.64,89.72,,96.19,88.39,87.85,93.25,91.50999999999999,87.17,88.92,94.42,3
1228,Nagpur,Amravati,272022484,S.M. Pune Institute,Science,A,Semi-English,General,75670,Open,80.17,74.24,82.34,78.99,,83.55,81.35,77.36999999999999,79.11,79.28999999999999,82.91,3
1229,Nagpur,Amravati,272019141,Dr. Borivali College of Commerce,Arts,A,English,Arts,75598,Open,87.48,83.11,,85.43,84.93,82.94,81.46000000000001,78.08,78.0,84.26,85.33,1
1230,Nashik,Pune,272011996,R.D. Pune Institute,Commerce,A,English,Arts,64430,Open,72.11,75.42,75.47,74.6,77.91,73.03999999999999,73.06,72.67999999999999,71.19,73.59,77.78,3
1231,Pune,Amravati,272014187,Shree Thane College of Commerce,Arts,G,Marathi,Commerce,28529,Open,60.36,63.64,59.74,,,,65.33,63.79,61.49,60.76,66.69,1
1232,Thane,Aurangabad,272084883,Rajmata Andheri Vidyalaya,Science,G,Marathi,Commerce,65791,Open,72.69,69.91000000000001,70.81,,,,75.75,76.69,69.55000000000001,71.18,78.74000000000001,2
1233,Mumbai,Konkan,272015221,Vivekanand Pune College of Commerce,Science,A,English,Science,41525,Reserved,89.58,88.22,82.36,82.14,,84.24000000000001,87.69,81.36,85.25,88.78,86.95,2
1234,Thane,Nashik,272094299,Rajmata Airoli College of Arts & Science,Science,A,Marathi,General,86631,Reserved,86.96000000000001,86.09,89.02000000000001,,86.37,89.8,84.96000000000001,92.34,90.34,83.43,90.73,2
1235,Mumbai,Nagpur,272065280,K.C. Ghatkopar Institute,Commerce,A,English,General,56448,Open,90.4,80.53,84.96000000000001,91.33000000000001,,85.95,85.67,86.92,88.48,86.25,91.56,3
1236,Nashik,Nagpur,272098705,Rajmata Andheri Junior College,Science,G,Marathi,General,62532,Reserved,74.93,66.01,67.75,69.67,,70.62,67.25,73.66000000000001,72.85000000000001,65.68,71.83000000000001,2
1237,Pune,Amravati,272016081,Rajmata Airoli College of Commerce,Arts,G,Marathi,Arts,23965,Open,71.94000000000001,69.57000000000001,71.74000000000001,68.23,66.47,73.60000000000001,68.45,71.07000000000001,74.62,67.07000000000001,71.44000000000001,3
1238,Mumbai,Nashik,272056683,Smt. Thane Vidyalaya,Commerce,G,Semi-English,Science,27625,Reserved,85.11,87.67,85.94000000000001,84.51,,,87.48,90.83000000000001,88.61,83.21000000000001,91.67,1
1239,Nagpur,Amravati,272042018,K.C. Dadar Junior College,Arts,G,English,Commerce,62654,Reserved,52.050000000000004,49.230000000000004,54.81,,51.57,59.46,52.56,,53.42,54.440000000000005,57.34,1
1240,Nashik,Pune,272010736,Smt. Dadar College of Commerce,Science,U,English,Commerce,60027,Open,60.379999999999995,53.309999999999995,58.44,,,59.81,54.97,51.489999999999995,52.839999999999996,51.629999999999995,55.69,2
1241,Mumbai,Nashik,272093519,Shree Pune Junior College,Arts,A,English,Science,67752,Open,68.66,64.44,,66.63,72.74,73.74,65.52999999999999,66.11,71.13,73.52999999999999,69.86,1
